"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United.Kingdom";"Ireland";"Greece";"Portugal";"Spain";"Australia";"New.Zealand";"Canada";"United.States";"Albania";"Bulgaria";"Czecho.slovakia";"Hungary";"Poland";"Romania";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Bolivia";"Costa.Rica";"Dominican.Rep.";"Ecuador";"Guatemala";"Jamaica";"China";"India";"Indonesia";"Japan";"Philippines";"South.Korea";"Thailand";"Taiwan";"Bangladesh";"Burma";"Hong.Kong";"Malaysia";"Pakistan";"Singapore";"Sri.Lanka";"Cambodia";"Vietnam";"Bahrain";"Iran";"Iraq";"Israel";"Jordan";"Kuwait";"Oman";"Qatar";"Saudi.Arabia";"Syria";"Turkey";"UAE";"Yemen";"Algeria";"Angola";"Burkina.Faso";"Cameroon";"Cote.d.Ivoire";"Egypt";"Ethiopia";"Ghana";"Kenya";"Madagascar";"Malawi";"Mali";"Morocco";"Mozambique";"Niger";"Nigeria";"Senegal";"South.Africa";"Sudan";"Tanzania";"Tunisia";"Uganda";"Congo.Kinshasa";"Zambia";"Zimbabwe"
15313;15541;18023;15382;16158;15701;14868;15737;18164;16949;19792;15393;9698;9375;9185;10520;16293;13891;18348;21788;2443;6382;8534;6814;5683;4110;7298;5270;5480;4577;5818;4192;6453;8805;2089;4530;2432;3682;3198;3296;1737;1125;2138;16251;2019;6916;3421;8598;602;867;15597;4218;1483;11743;2252;935;941;4257;3584;3797;12670;4963;7789;6712;8042;8105;5681;4998;13480;2329;3192;760;838;1550;1618;2465;615;1007;1065;789;568;714;2378;980;572;976;1285;3897;808;539;3164;550;576;755;1257
15754;16252;18224;16088;16790;16160;15485;16044;18059;17232;20243;16110;10234;9784;9868;11046;16752;13816;18993;22499;2459;6335;8709;7031;5789;4085;7054;5155;5780;4669;5771;3766;6413;9080;2124;4561;2397;3971;3191;3386;1830;1216;2227;17185;2105;7621;3820;8898;605;757;16716;4482;1532;12718;2279;924;976;4267;3293;2908;12708;4750;7727;6670;7837;8027;6219;5086;12682;2351;3043;853;880;1435;1533;2510;608;1034;1092;778;547;700;2558;1067;589;1046;1308;3964;804;544;3099;566;561;777;1326
16360;16744;18261;16946;17300;16558;15997;16695;18157;17524;20935;16414;10880;10111;10372;11582;17194;13869;19108;23059;2477;6216;8768;6903;5684;3941;6520;5224;6283;4726;5899;3237;6454;8094;2138;4698;2647;3888;3227;3606;1834;1270;2388;17943;2184;8027;4225;9538;606;774;17043;4789;1560;13475;2307;913;996;4235;3327;2571;12604;4103;7968;6708;7614;8004;5480;5041;13220;2353;3067;853;842;1268;1470;2528;600;1057;1105;785;542;756;2555;1114;574;1085;1242;3956;849;546;3151;583;540;762;1368
16895;17197;18452;16866;17647;15929;16313;17262;18466;17609;21487;16430;11818;10015;10826;12055;17173;13687;18872;23201;2499;5597;8513;6459;5113;3511;6433;4920;6401;4826;6085;3008;6465;8313;2197;4747;2471;3903;3240;3786;1871;1309;2514;18789;2197;8704;4633;9938;631;786;17541;5131;1588;14220;2424;881;1025;4104;3526;2458;13067;3792;6121;6479;7343;8993;5701;5399;13961;2272;2947;868;807;1211;1307;2523;574;1062;1117;792;540;747;2591;1114;547;1112;1254;3834;760;549;3335;585;510;806;1355
17263;17451;18644;15768;17724;16650;16563;17548;18951;17276;21040;16155;11969;10204;11304;12327;16743;13374;18262;22833;1836;5198;7439;5676;4738;3065;6955;4888;6784;4840;6226;3028;6664;8907;2259;4745;2446;4061;3268;3801;1967;1305;2694;19347;2136;9446;4957;10610;642;767;18334;5469;1629;14638;2519;915;1063;4041;3813;947;13557;3463;8179;6606;6913;9665;6101;5346;13447;2328;2840;854;852;1133;1253;2532;512;1092;1096;720;564;797;2720;1167;544;1077;1251;3715;804;545;3402;575;451;779;1413
17409;17645;18949;15136;17880;16891;16634;17720;19506;16969;20804;16133;12275;10201;11417;12413;16989;13373;18147;23285;1764;4884;7254;5510;4842;2803;7384;4782;7483;4950;6333;2953;7163;9234;2242;5056;2652;4074;3370;3831;2132;1350;2842;19440;2099;9877;5344;11304;664;829;19193;5802;1708;15167;2599;937;1133;4187;3859;1196;14085;3719;8267;6896;7237;9664;6712;5562;13056;2427;2813;782;826;1068;1214;2505;451;1112;1045;707;503;752;2566;1089;494;1055;1233;3564;744;533;3601;571;391;773;1260
17339;17406;18870;14943;17666;16645;16441;17824;19931;16524;20591;16458;12533;9982;11138;12259;17478;14032;18309;23640;1937;4936;7282;5506;5011;2852;7748;4937;7869;5131;6339;3030;7324;9061;2285;5284;2794;4010;3445;3859;2312;1401;2998;19417;2099;10391;5734;11950;683;866;19985;6219;1708;16384;2740;931;1202;4601;3751;1161;14150;3772;10425;7047;6971;9351;7013;5902;12288;2430;2686;576;826;1007;1328;2544;498;1136;1011;700;542;762;2496;1144;486;1049;1217;3533;764;522;3616;595;327;752;1256
17670;17902;19847;15424;17978;17028;16762;18223;20818;17066;20685;17118;13191;10136;11179;12528;18146;14551;18942;24313;2067;5078;7517;5687;5265;2971;8119;5145;8182;5293;6504;3351;7825;8666;2338;5378;2810;4109;3490;3846;2515;1464;3170;19537;2144;11199;6115;12731;700;913;20721;6622;1739;17573;2852;985;1285;4468;3717;1070;14681;3866;10695;7098;6885;9121;7203;5482;12425;2502;2604;566;808;956;1283;2615;501;1149;1012;679;495;771;2709;1129;490;1032;1186;3584;764;511;3669;611;304;636;1316
18096;18270;20350;15977;18262;17299;17217;18697;21578;17646;20660;17586;14389;10321;11614;13132;18530;14909;19238;24637;2308;5285;7956;5781;5623;3192;7786;5280;8910;5470;6001;3573;7679;8831;2394;5437;2912;4059;3572;3890;2863;1543;3374;19872;2193;12094;6531;13418;723;960;20659;7092;1780;18310;2971;1025;1385;4528;3770;945;15133;4015;10263;7227;6922;8870;7390;5775;12495;2561;2651;631;826;963;1312;2696;516;1175;1029;670;566;776;2490;1085;444;1004;1218;3646;771;512;3699;661;294;602;1310
18512;18487;20810;16497;18373;17420;17378;19248;22564;17901;20689;18044;15387;10543;12001;13423;19075;15144;19331;25263;2482;4844;8374;5802;5970;3331;8091;5313;9427;5497;6209;3599;8072;8649;2446;5343;3065;4077;3592;3846;2892;1635;3576;20343;2267;12860;6820;14050;744;1005;20967;7608;1846;19160;3047;1056;1490;4600;3982;1032;15496;3998;9872;7229;7233;8914;7407;6073;12445;2598;2702;734;888;986;1378;2789;566;1207;1044;664;607;818;2750;1208;451;1028;1212;3753;804;525;3908;701;284;628;1417
